"","country","rel_prob"
"206","South Sudan",0.00238474952882855
"191","Rwanda",0.00226406740010286
"254","Zimbabwe",0.00224114593087596
"158","Malaysia",0.00206921230847188
"19","Belgium",0.00200269418529944
"43","Chile",0.0019929481744282
"18","Burundi",0.00191554461743861
"66","Ecuador",0.00188115176535848
"131","Sri Lanka",0.00187192766124265
"90","Greece",0.00186422627887311
"59","Czech Republic",0.00174534284993549
"102","Hungary",0.00164856578725485
"117","Kazakhstan",0.00163804156279642
"182","North Korea",0.00163794004549119
"93","Guatemala",0.00154756960035808
"42","Switzerland",0.00150838493701379
"16","Austria",0.00150245386185012
"229","Taiwan",0.00148138115843272
"32","Bolivia",0.00145683736839616
"64","Dominican Republic",0.00144826735720857
"203","Somalia",0.00143668070097402
"39","Central African Republic",0.00137012230017061
"115","Jordan",0.00136317052513003
"211","Sweden",0.00135996374079138
"29","Belarus",0.00135958516132599
"101","Haiti",0.00135454907854815
"54","Cuba",0.0013356379537351
"128","Libya",0.00130110017451857
"111","Israel",0.00125667308074805
"205","Serbia",0.00123076092629717
"48","Republic of Congo",0.00121304566305184
"24","Bulgaria",0.00120940472622581
"17","Azerbaijan",0.00119493008546247
"15","Australia",0.00116738006905318
"126","Lebanon",0.00111902736234725
"120","Cambodia",0.00107719121677545
"68","Eritrea",0.000987786671635285
"184","Paraguay",0.000979390224410726
"99","Honduras",0.000940274272743653
"209","Slovakia",0.000871557483040985
"107","Ireland",0.000842668361912686
"63","Denmark",0.000840006041376603
"220","Tajikistan",0.000825921331239975
"185","Palestina",0.000752410686731188
"100","Croatia",0.000737471070862955
"168","Norway",0.000709090747343917
"73","Finland",0.000707628535867839
"27","Bosnia and Herzegovina",0.000674329124920875
"8","United Arab Emirates",0.000667586557639989
"201","El Salvador",0.000647579090572405
"81","Georgia",0.000643983524645403
"165","Nicaragua",0.000641578711128563
"222","Turkmenistan",0.000586784856403253
"79","Gabon",0.000562529695936806
"6","Albania",0.000543971837090799
"53","Costa Rica",0.00054230343201889
"181","Puerto Rico",0.000539829551656514
"140","Moldova",0.00053479767490691
"119","Kyrgyzstan",0.000532349983630397
"125","Laos",0.000492860894578505
"97","Hong Kong",0.000467901120268492
"160","Namibia",0.000443601776076205
"234","Uruguay",0.000429668879437096
"174","Panama",0.000429434891915168
"133","Lithuania",0.000414126760390128
"10","Armenia",0.000403941991949654
"195","Singapore",0.00038160363434684
"113","Jamaica",0.000365721516617404
"172","Oman",0.000365105817278554
"145","Macedonia",0.000361006592862925
"124","Kuwait",0.000354451604847111
"210","Slovenia",0.000347901622631397
"38","Botswana",0.000342331183442221
"249","Kosovo",0.000327116758545957
"179","Papua New Guinea",0.000320173614383062
"52","Cape Verde",0.00031456577477436
"132","Lesotho",0.000284970284541593
"135","Latvia",0.000278584048238035
"187","Qatar",0.000271645222994542
"89","Equatorial Guinea",0.000240297083186999
"150","Mongolia",0.000230849327598047
"171","New Zealand",0.00022583072569945
"69","Western Sahara",0.000213034588924838
"212","Swaziland",0.000204752640278953
"225","Trinidad and Tobago",0.000199981226450927
"71","Estonia",0.000168594048847966
"25","Bahrain",0.000148437164254095
"156","Mauritius",0.000138151730655099
"58","Cyprus",0.000131502980866351
"96","Guyana",0.000121250936690999
"208","Suriname",0.000113832762225236
"149","Montenegro",0.000109546426255965
"61","Djibouti",0.000108545472814508
"134","Luxembourg",0.00010138646346077
"51","Comoros",9.2624491862374e-05
"188","Reunion",8.85619654743875e-05
"147","Malta",8.34251028763143e-05
"223","Timor-Leste",6.94541559670974e-05
"86","Guadeloupe",6.08906887141807e-05
"207","São Tomé and Príncipe",6.06887699254519e-05
"155","Martinique",5.92936319183924e-05
"36","Bhutan",5.84204570971886e-05
"247","Caspian Sea",5.28790178779759e-05
"94","French Guiana",5.07498239356318e-05
"250","Northern Cyprus",4.87451467246936e-05
"34","Barbados",4.79368112623882e-05
"110","Iceland",4.41027665156029e-05
"136","Macao",4.09463119036689e-05
"74","Fiji",3.95075677013931e-05
"26","Bahamas",3.84650567367227e-05
"30","Belize",3.24766289716527e-05
"35","Brunei",2.66016808441212e-05
"129","Saint Lucia",2.62360797769299e-05
"159","Mayotte",2.5482028864033e-05
"199","Solomon Islands",2.23956592821265e-05
"55","Curaçao",1.93293087088204e-05
"7","Andorra",1.86032293818436e-05
"91","Grenada",1.70745839515841e-05
