"","country","rel_prob"
"188","Reunion",2.20739775390786e-05
"34","Barbados",1.92499827954824e-05
"250","Northern Cyprus",1.78676251392608e-05
"247","Caspian Sea",1.5352620900833e-05
"110","Iceland",1.44721979938862e-05
"26","Bahamas",1.12123831983503e-05
"36","Bhutan",1.08794574958214e-05
"129","Saint Lucia",1.02313289860461e-05
"7","Andorra",9.38556325655657e-06
"223","Timor-Leste",9.17624638876672e-06
"30","Belize",8.14900489946958e-06
"159","Mayotte",7.5735727709046e-06
"114","Jersey",7.22211605365426e-06
"91","Grenada",6.57308591789955e-06
"55","Curaçao",6.47712529520007e-06
"136","Macao",6.29886374531436e-06
"238","Saint Vincent and the Grenadines",5.61700878874601e-06
"14","Antigua and Barbuda",5.54552458669418e-06
"241","Virgin Islands",5.2745847413782e-06
"1","Aruba",5.14471034918046e-06
"104","Isle of Man",5.04336690791904e-06
"84","Gibraltar",5.0000634717133e-06
"82","Guernsey",4.59184921328324e-06
"74","Fiji",4.3721868685529e-06
"62","Dominica",3.88480074617429e-06
"35","Brunei",3.86317132102145e-06
"130","Liechtenstein",2.95895781126505e-06
"122","Saint Kitts and Nevis",2.7803807542114e-06
"202","San Marino",2.63463037571721e-06
"31","Bermuda",2.58159080320542e-06
"142","Maldives",2.56964518785089e-06
"199","Solomon Islands",2.37610460733092e-06
"214","Seychelles",2.34882856370733e-06
"213","Sint Maarten",2.32669507018412e-06
"77","Faroe Islands",2.16477456230266e-06
"216","Turks and Caicos Islands",1.91776836622568e-06
"137","Saint-Martin",1.8353996313164e-06
"186","French Polynesia",1.82354628400509e-06
"197","Saint Helena",1.74465277230773e-06
"139","Monaco",1.72512414807194e-06
"92","Greenland",1.56667917302671e-06
"57","Cayman Islands",1.56411145865603e-06
"240","British Virgin Islands",1.46709470744837e-06
"161","New Caledonia",1.31912865741957e-06
"21","Bonaire- Sint Eustatius and Saba",1.18782565867338e-06
"5","Åland",1.16522927681252e-06
"246","Akrotiri and Dhekelia",1.09703483301324e-06
"243","Vanuatu",1.07773780775843e-06
"95","Guam",1.03825606436316e-06
"245","Samoa",9.94801531496026e-07
"4","Anguilla",8.40168341283473e-07
"224","Tonga",5.35578836002354e-07
"78","Micronesia",4.42257450888275e-07
"28","Saint-Barthélemy",4.1641063306174e-07
"151","Northern Mariana Islands",3.3938105968724e-07
"154","Montserrat",3.12388941552356e-07
"11","American Samoa",2.49718504998615e-07
"121","Kiribati",2.30324876960296e-07
"204","Saint Pierre and Miquelon",2.11172136632141e-07
"178","Palau",1.17952617914775e-07
"144","Marshall Islands",9.40468348633258e-08
"75","Falkland Islands",8.79289681986418e-08
"49","Cook Islands",5.44629154470329e-08
"198","Svalbard and Jan Mayen",5.22531267742332e-08
"244","Wallis and Futuna",4.35282234519936e-08
"170","Nauru",3.80850281503515e-08
"228","Tuvalu",2.23548749020795e-08
"56","Christmas Island",1.40259810673712e-08
"163","Norfolk Island",1.17347612020611e-08
"166","Niue",7.18328390205323e-09
"41","Cocos Islands",2.65038406041274e-09
"221","Tokelau",2.54820803939216e-09
"175","Pitcairn Islands",5.04687618980464e-10
"233","United States Minor Outlying Islands",1.11155125898151e-10
"12","Antarctica",0
"13","French Southern Territories",0
"37","Bouvet Island",0
"98","Heard Island and McDonald Islands",0
"106","British Indian Ocean Territory",0
"196","South Georgia and the South Sandwich Islands",0
"237","Vatican City",0
"248","Clipperton Island",0
"200","Sierra Leone",NA
