Country,Date,incid
Guinea,2014-05-20,5
Guinea,2014-05-21,4
Guinea,2014-05-22,4
Guinea,2014-05-23,8
Guinea,2014-05-24,1
Guinea,2014-05-25,11
Guinea,2014-05-26,5
Guinea,2014-05-27,7
Guinea,2014-05-28,7
Guinea,2014-05-29,2
Guinea,2014-05-30,1
Guinea,2014-05-31,2
Guinea,2014-06-01,3
Guinea,2014-06-02,5
Guinea,2014-06-03,8
Guinea,2014-06-04,4
Guinea,2014-06-05,7
Guinea,2014-06-06,2
Guinea,2014-06-07,2
Guinea,2014-06-08,3
Guinea,2014-06-09,10
Guinea,2014-06-10,3
Guinea,2014-06-11,3
Guinea,2014-06-12,0
Guinea,2014-06-13,1
Guinea,2014-06-14,4
Guinea,2014-06-15,2
Guinea,2014-06-16,7
Guinea,2014-06-17,4
Guinea,2014-06-18,6
Guinea,2014-06-19,11
Guinea,2014-06-20,4
Guinea,2014-06-21,4
Guinea,2014-06-22,1
Guinea,2014-06-23,2
Guinea,2014-06-24,2
Guinea,2014-06-25,2
Guinea,2014-06-26,1
Guinea,2014-06-27,1
Guinea,2014-06-28,0
Guinea,2014-06-29,0
Guinea,2014-06-30,0
Guinea,2014-07-01,2
Guinea,2014-07-02,4
Guinea,2014-07-03,2
Guinea,2014-07-04,2
Guinea,2014-07-05,2
Guinea,2014-07-06,2
Guinea,2014-07-07,3
Guinea,2014-07-08,1
Guinea,2014-07-09,2
Guinea,2014-07-10,2
Guinea,2014-07-11,0
Guinea,2014-07-12,2
Guinea,2014-07-13,1
Guinea,2014-07-14,0
Guinea,2014-07-15,3
Guinea,2014-07-16,1
Guinea,2014-07-17,5
Guinea,2014-07-18,10
