Date,BEYLA,BO,BOFFA,BOKE,BOMBALI,BOMI,BONG,BONTHE,CONAKRY,COYAH,DABOLA,DALABA,DINGUIRAYE,DUBREKA,FARANAH,FORECARIAH,FRIA,GBAPOLU,GRANDBASSA,GRANDCAPEMOUNT,GRANDGEDEH,GRANDKRU,GUECKEDOU,KAILAHUN,KAMBIA,KANKAN,KENEMA,KEROUANE,KINDIA,KISSIDOUGOU,KOINADUGU,KONO,KOUROUSSA,LOFA,LOLA,MACENTA,MALI,MARGIBI,MARYLAND,MONTSERRADO,MOYAMBA,NZEREKORE,NIMBA,PITA,PORTLOKO,PUJEHUN,RIVERCESS,RIVERGEE,SIGUIRI,SINOE,TELIMELE,TONKOLILI,TOUGUE,WESTERN,YAMOU
2015-02-21,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,20,0
2015-02-22,0,0,1,0,3,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,15,0
2015-02-23,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,13,0
2015-02-24,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,14,0
2015-02-25,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,14,0
2015-02-26,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,29,0
2015-02-27,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,18,0
2015-02-28,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,15,0
2015-03-01,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,4,0,25,0
2015-03-02,0,2,0,0,2,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,2,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,0,25,0
