Date,district,incid
2015-08-13,MOYAMBA,0
2013-12-26,PORTLOKO,0
2014-01-02,PORTLOKO,0
2014-01-09,PORTLOKO,0
2014-01-16,PORTLOKO,0
2014-01-23,PORTLOKO,0
2014-01-30,PORTLOKO,0
2014-02-06,PORTLOKO,0
2014-02-13,PORTLOKO,0
2014-02-20,PORTLOKO,0
2014-02-27,PORTLOKO,0
2014-03-06,PORTLOKO,0
2014-03-13,PORTLOKO,0
2014-03-20,PORTLOKO,0
2014-03-27,PORTLOKO,0
2014-04-03,PORTLOKO,0
2014-04-10,PORTLOKO,0
2014-04-17,PORTLOKO,0
2014-04-24,PORTLOKO,0
2014-05-01,PORTLOKO,0
2014-05-08,PORTLOKO,0
2014-05-15,PORTLOKO,0
2014-05-22,PORTLOKO,0
2014-05-29,PORTLOKO,2
2014-06-05,PORTLOKO,1
2014-06-12,PORTLOKO,1
2014-06-19,PORTLOKO,0
2014-06-26,PORTLOKO,1
2014-07-03,PORTLOKO,1
2014-07-10,PORTLOKO,1
2014-07-17,PORTLOKO,3
2014-07-24,PORTLOKO,10
2014-07-31,PORTLOKO,30
2014-08-07,PORTLOKO,20
2014-08-14,PORTLOKO,31
2014-08-21,PORTLOKO,31
2014-08-28,PORTLOKO,63
2014-09-04,PORTLOKO,61
2014-09-11,PORTLOKO,64
2014-09-18,PORTLOKO,123
2014-09-25,PORTLOKO,75
2014-10-02,PORTLOKO,114
2014-10-09,PORTLOKO,131
2014-10-16,PORTLOKO,164
2014-10-23,PORTLOKO,196
2014-10-30,PORTLOKO,175
2014-11-06,PORTLOKO,149
2014-11-13,PORTLOKO,142
2014-11-20,PORTLOKO,146
2014-11-27,PORTLOKO,87
2014-12-04,PORTLOKO,144
2014-12-11,PORTLOKO,129
2014-12-18,PORTLOKO,103
2014-12-25,PORTLOKO,71
2015-01-01,PORTLOKO,65
2015-01-08,PORTLOKO,68
2015-01-15,PORTLOKO,33
2015-01-22,PORTLOKO,75
2015-01-29,PORTLOKO,48
2015-02-05,PORTLOKO,29
2015-02-12,PORTLOKO,45
2015-02-19,PORTLOKO,25
2015-02-26,PORTLOKO,23
2015-03-05,PORTLOKO,22
2015-03-12,PORTLOKO,15
2015-03-19,PORTLOKO,13
2015-03-26,PORTLOKO,12
2015-04-02,PORTLOKO,9
2015-04-09,PORTLOKO,7
2015-04-16,PORTLOKO,4
2015-04-23,PORTLOKO,8
2015-04-30,PORTLOKO,14
2015-05-07,PORTLOKO,6
2015-05-14,PORTLOKO,22
2015-05-21,PORTLOKO,18
2015-05-28,PORTLOKO,15
2015-06-04,PORTLOKO,20
2015-06-11,PORTLOKO,22
2015-06-18,PORTLOKO,14
2015-06-25,PORTLOKO,7
2015-07-02,PORTLOKO,23
2015-07-09,PORTLOKO,18
2015-07-16,PORTLOKO,19
2015-07-23,PORTLOKO,8
2015-07-30,PORTLOKO,4
2015-08-06,PORTLOKO,11
2015-08-13,PORTLOKO,11
2013-12-26,PUJEHUN,1
2014-01-02,PUJEHUN,0
2014-01-09,PUJEHUN,0
2014-01-16,PUJEHUN,0
2014-01-23,PUJEHUN,0
2014-01-30,PUJEHUN,0
2014-02-06,PUJEHUN,0
2014-02-13,PUJEHUN,0
2014-02-20,PUJEHUN,0
2014-02-27,PUJEHUN,0
2014-03-06,PUJEHUN,0
2014-03-13,PUJEHUN,0
2014-03-20,PUJEHUN,0
2014-03-27,PUJEHUN,0
2014-04-03,PUJEHUN,1
2014-04-10,PUJEHUN,0
2014-04-17,PUJEHUN,0
2014-04-24,PUJEHUN,0
2014-05-01,PUJEHUN,0
2014-05-08,PUJEHUN,0
2014-05-15,PUJEHUN,0
2014-05-22,PUJEHUN,0
2014-05-29,PUJEHUN,0
2014-06-05,PUJEHUN,0
2014-06-12,PUJEHUN,0
2014-06-19,PUJEHUN,0
2014-06-26,PUJEHUN,0
2014-07-03,PUJEHUN,0
2014-07-10,PUJEHUN,0
2014-07-17,PUJEHUN,0
2014-07-24,PUJEHUN,3
2014-07-31,PUJEHUN,1
2014-08-07,PUJEHUN,2
2014-08-14,PUJEHUN,8
2014-08-21,PUJEHUN,1
2014-08-28,PUJEHUN,2
2014-09-04,PUJEHUN,1
