Country,CL_DistrictRes,Date,incid
Sierra Leone,KAMBIA,2014-09-09,0
Sierra Leone,KAMBIA,2014-09-10,0
Sierra Leone,KAMBIA,2014-09-11,0
Sierra Leone,KAMBIA,2014-09-12,1
Sierra Leone,KAMBIA,2014-09-13,0
Sierra Leone,KAMBIA,2014-09-14,2
Sierra Leone,KAMBIA,2014-09-15,0
Sierra Leone,KAMBIA,2014-09-16,3
Sierra Leone,KAMBIA,2014-09-17,4
Sierra Leone,KAMBIA,2014-09-18,2
Sierra Leone,KAMBIA,2014-09-19,4
Sierra Leone,KAMBIA,2014-09-20,2
Sierra Leone,KAMBIA,2014-09-21,1
Sierra Leone,KAMBIA,2014-09-22,0
Sierra Leone,KAMBIA,2014-09-23,2
Sierra Leone,KAMBIA,2014-09-24,1
Sierra Leone,KAMBIA,2014-09-25,0
Sierra Leone,KAMBIA,2014-09-26,2
Sierra Leone,KAMBIA,2014-09-27,0
Sierra Leone,KAMBIA,2014-09-28,0
Sierra Leone,KAMBIA,2014-09-29,1
Sierra Leone,KAMBIA,2014-09-30,1
Sierra Leone,KAMBIA,2014-10-01,1
Sierra Leone,KAMBIA,2014-10-02,0
Sierra Leone,KAMBIA,2014-10-03,0
Sierra Leone,KAMBIA,2014-10-04,1
Sierra Leone,KAMBIA,2014-10-05,3
Sierra Leone,KAMBIA,2014-10-06,0
Sierra Leone,KAMBIA,2014-10-07,0
Sierra Leone,KAMBIA,2014-10-08,1
Sierra Leone,KAMBIA,2014-10-09,1
Sierra Leone,KAMBIA,2014-10-10,0
Sierra Leone,KAMBIA,2014-10-11,0
Sierra Leone,KAMBIA,2014-10-12,1
Sierra Leone,KAMBIA,2014-10-13,0
Sierra Leone,KAMBIA,2014-10-14,0
Sierra Leone,KAMBIA,2014-10-15,0
Sierra Leone,KAMBIA,2014-10-16,0
Sierra Leone,KAMBIA,2014-10-17,0
Sierra Leone,KAMBIA,2014-10-18,1
Sierra Leone,KAMBIA,2014-10-19,0
Sierra Leone,KAMBIA,2014-10-20,2
