NodeName,City,StateCode,CountryCode,Lon,Lat
CXB,Coxs Bazar,NULL,BD,91.97,21.45
CXH,Vancouver,BC,CA,-123.12,49.27
CXI,Christmas Island,NULL,KI,-157.45,1.97
CXJ,Caxias Do Sul,RS,BR,-51.18,-29.17
CXR,Nha Trang,NULL,VN,109.22,11.99
CYB,Cayman Brac Island,NULL,KY,-79.88,19.69
CYF,Chefornak,AK,US,-164.2,60.22
CYI,Chiayi,NULL,TW,120.38,23.47
CYO,Cayo Largo Del Sur,NULL,CU,-81.52,21.62
CYP,Calbayog,NULL,PH,124.54,12.08
CYS,Cheyenne,WY,US,-104.82,41.16
CYX,Cherskiy,NULL,RU,161.35,68.75
CYZ,Cauayan,NULL,PH,121.76,16.93
CZH,Corozal,NULL,BZ,-88.42,18.38
CZL,Constantine,NULL,DZ,6.62,36.29
CZM,Cozumel,NULL,MX,-86.93,20.51
CZS,Cruzeiro Do Sul,AC,BR,-72.78,-7.58
CZU,Corozal,NULL,CO,-75.28,9.34
CZX,Changzhou,NULL,CN,119.78,31.91
DAB,Daytona Beach,FL,US,-81.06,29.19
DAC,Dhaka,NULL,BD,90.41,23.85
DAD,Da Nang,NULL,VN,108.2,16.06
DAL,Dallas,TX,US,-96.85,32.84
DAM,Damascus,NULL,SY,36.51,33.41
DAN,Danville,VA,US,-79.33,36.57
DAR,Dar Es Salaam,NULL,TZ,39.2,-6.87
DAT,Datong,NULL,CN,113.48,40.06
DAU,Daru,NULL,PG,143.21,-9.08
DAV,David,NULL,PA,-82.43,8.38
DAX,Daxian,NULL,CN,107.43,31.14
DAY,Dayton,OH,US,-84.22,39.9
DBA,Dalbandin,NULL,PK,64.42,28.88
DBO,Dubbo,NSW,AU,148.57,-32.22
DBQ,Dubuque,IA,US,-90.71,42.41
DBV,Dubrovnik,NULL,HR,18.26,42.56
DCA,Washington,DC,US,-77.04,38.85
DCF,Dominica,NULL,DM,-61.33,15.5
DCM,Castres,NULL,FR,2.28,43.56
DCN,Derby,NULL,AU,123.66,-17.37
DDC,Dodge City,KS,US,-99.97,37.76
DDG,Dandong,NULL,CN,124.28,40.03
DDU,Dadu,NULL,PK,67.75,26.75
DEA,Dera Ghazi Khan,NULL,PK,70.49,29.96
DEC,Decatur,IL,US,-88.87,39.83
DED,Dehra Dun,NULL,IN,78.03,30.32
DEF,Dezful,NULL,IR,48.38,32.44
DEL,Delhi,NULL,IN,77.1,28.56
DEN,Denver,CO,US,-104.67,39.85
DEZ,Deirezzor,NULL,SY,40.19,35.29
DFW,Dallas,TX,US,-97.04,32.9
DGA,Dangriga,NULL,BZ,-88.57,17.18
DGE,Mudgee,NSW,AU,149.62,-32.57
DGO,Durango,NULL,MX,-104.53,24.13
DGT,Dumaguete,NULL,PH,123.3,9.33
DHI,Dhangarhi,NULL,NP,80.63,28.68
DHM,Dharamsala,NULL,IN,76.27,32.3
DHN,Dothan,AL,US,-85.45,31.32
DIB,Dibrugarh,NULL,IN,95.02,27.48
DIE,Antsiranana,NULL,MG,49.29,-12.35
DIG,Diqing,NULL,CN,99.68,27.79
DIJ,Dijon,NULL,FR,5.09,47.27
DIK,Dickinson,ND,US,-102.9,46.83
DIL,Dili,NULL,TL,125.53,-8.55
DIN,Dien Bien Phu,NULL,VN,103,21.38
DIR,Dire Dawa,NULL,ET,41.86,9.61
DIU,Diu,NULL,IN,70.92,20.72
DIW,Dickwella,NULL,LK,81,6.97
DIY,Diyarbakir,NULL,TR,40.2,37.9
DJB,Jambi,NULL,ID,103.64,-1.63
DJE,Djerba,NULL,TN,10.78,33.87
DJG,Djanet,NULL,DZ,9.49,24.47
DJJ,Jayapura,NULL,ID,140.51,-2.57
DKA,NULL,NULL,NG,7.67,13.01
DKR,Dakar,NULL,SN,-17.49,14.74
DLA,Douala,NULL,CM,9.72,4.01
DLC,Dalian,NULL,CN,121.54,38.96
DLE,Dole,NULL,FR,5.43,47.05
DLG,Dillingham,AK,US,-158.51,59.04
DLH,Duluth,MN,US,-92.18,46.84
DLI,Dalat,NULL,VN,108.38,11.75
DLM,Dalaman,NULL,TR,28.78,36.72
DLU,Dali City,NULL,CN,100.32,25.65
DLY,Dillons Bay,NULL,VU,169.15,-18.7
DLZ,Dalanzadgad,NULL,MN,104.68,43.97
DMD,Doomadgee,QLD,AU,138.82,-17.94
DME,Moscow,NULL,RU,37.9,55.41
DMK,Bangkok,NULL,TH,100.61,13.91
DMM,Dammam,NULL,SA,49.8,26.47
DMU,Dimapur,NULL,IN,93.77,25.88
DND,Dundee,SC,GB,-3.01,56.45
DNH,Dunhuang,NULL,CN,94.68,40.2
DNK,Dnepropetrovsk,NULL,UA,35.09,48.37
DNR,Dinard,NULL,FR,-2.08,48.59
DNZ,Denizli,NULL,TR,29.7,37.79
DOD,Dodoma,NULL,TZ,35.75,-6.17
DOH,Doha,NULL,QA,51.56,25.27
DOK,Donetsk,NULL,UA,37.75,48.08
DOL,Deauville,NULL,FR,0.16,49.36
DOM,Dominica,NULL,DM,-61.31,15.54
