Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat
Liberia,Liberia,Ebola,Humans,3298036,"West Africa - Ebola Outbreak, Fact Sheet #29, Fiscal Year (FY) 2015 (as of April 14, 2015)",http://reliefweb.int/node/938396,4/14/15 0:00,Breaking,9862,,,,,ReliefWeb,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,3298036,"West Africa - Ebola Outbreak, Fact Sheet #29, Fiscal Year (FY) 2015 (as of April 14, 2015)",http://reliefweb.int/node/938396,4/14/15 0:00,Breaking,3548,,,,,ReliefWeb,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,3298036,"West Africa - Ebola Outbreak, Fact Sheet #29, Fiscal Year (FY) 2015 (as of April 14, 2015)",http://reliefweb.int/node/938396,4/14/15 0:00,Breaking,12201,,,,,ReliefWeb,-11.79192,8.56028
United States,United States,Ebola,Humans,3298036,"West Africa - Ebola Outbreak, Fact Sheet #29, Fiscal Year (FY) 2015 (as of April 14, 2015)",http://reliefweb.int/node/938396,4/14/15 0:00,Breaking,,,,,,ReliefWeb,-97.556099,39.96693
Sierra Leone,Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,,,,,,ReliefWeb,-11.79192,8.56028
"Kailahun, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,565,228,,,,ReliefWeb,-10.56667,8.28333
"Kenema, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,503,265,,,,ReliefWeb,-11.1875,7.87667
"Kono District, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,254,186,,,,ReliefWeb,-11,8.75
"Bombali District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,1049,390,,,,ReliefWeb,-12.25,9.33333
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,212,123,,,,ReliefWeb,-12.91667,9.11667
"Koinadugu, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,108,56,,,,ReliefWeb,-11.36667,9.53333
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,1444,563,,,,ReliefWeb,-12.78333,8.76667
"Tonkolili District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,454,160,,,,ReliefWeb,-11.66667,8.66667
"Bo District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,314,114,,,,ReliefWeb,-11.666667,8
"Bonthe District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,5,5,,,,ReliefWeb,-12.5,7.5
"Moyamba District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,209,78,,,,ReliefWeb,-12.5,8
"Pujehun District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,31,16,,,,ReliefWeb,-11.5,7.33333
"Western Area Urban, Western Area, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,2237,780,,,,ReliefWeb,-13.26617,8.45358
"Western Area Rural, Sierra Leone",Sierra Leone,Ebola,Humans,3295825,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 13 April, 2015",http://reliefweb.int/node/936671,4/13/15 0:00,Breaking,1164,526,,,,ReliefWeb,-13.035694,8.311498
Sierra Leone,Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,,,,,,ReliefWeb,-11.79192,8.56028
"Kailahun, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,565,,,,,ReliefWeb,-10.56667,8.28333
"Kenema, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,503,,,,,ReliefWeb,-11.1875,7.87667
"Kono District, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,253,,,,,ReliefWeb,-11,8.75
"Bombali District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,1049,,,,,ReliefWeb,-12.25,9.33333
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,211,,,,,ReliefWeb,-12.91667,9.11667
"Koinadugu, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,108,,,,,ReliefWeb,-11.36667,9.53333
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,1444,,,,,ReliefWeb,-12.78333,8.76667
"Tonkolili District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,454,,,,,ReliefWeb,-11.66667,8.66667
"Bo District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,314,,,,,ReliefWeb,-11.666667,8
"Bonthe District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,5,,,,,ReliefWeb,-12.5,7.5
"Moyamba District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,209,,,,,ReliefWeb,-12.5,8
