Location,Country,Region/City,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,Cumulative SC,Cumulative SD,Cumulative CC,Cumulative CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Senegal,Senegal,,Ebola,Humans,,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,06/04/14 21:59,No Tag,,,,,,,,,,ProMED Mail,Xinhau News,
Guinea,Guinea,,Ebola,Humans,,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,06/04/14 21:59,No Tag,,,,,143,86,54,16,,ProMED Mail,Ministry of Health Guinea,
Sierra Leone,Sierra Leone,,Ebola,Humans,,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,06/04/14 21:59,No Tag,,,,,,,,,,ProMED Mail,"Ministry of Health and Sanitation, Sierra Leone",
Liberia,Liberia,,Ebola,Humans,,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,06/04/14 21:59,No Tag,,2,,,,7,,,,ProMED Mail,Business Standard,
Ghana,Ghana,,Ebola,Humans,,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,06/04/14 21:59,No Tag,,,,,1,,,,,ProMED Mail,Radio XYZ,
Sierra Leone,Sierra Leone,,Ebola,Humans,,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,08/04/14 05:30,No Tag,,,,,,,,,,ProMED Mail,Sierra Leone Ministry of Health and Sanitation,
Guinea,Guinea,,Ebola,Humans,,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,08/04/14 05:30,No Tag,,,,,,80,,,,ProMED Mail,Joyonline,
Liberia,Liberia,,Ebola,Humans,,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,08/04/14 05:30,No Tag,,,,,,5,,,,ProMED Mail,Joyonline,
Ghana,Ghana,,Ebola,Humans,,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,08/04/14 05:30,No Tag,,9,,,151,95,,52,,ProMED Mail,Gloal Post,
"Guinê©e Forestiêëre, Guinea",Guinea,,Ebola,Humans,,2391500,PRO/AH/EDR> Ebola virus disease - West Africa (11): Guinea,http://promedmail.org/direct.php?id=20140409.2391500,09/04/14 15:31,No Tag,,,,,157,101,,,,ProMED Mail,Reuters,
Liberia,Liberia,,Ebola,Humans,,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,10/04/14 14:32,No Tag,,,,,21,10,,5,,ProMED Mail,WHO Regional Office in West Africa,
Guinea,Guinea,,Ebola,Humans,,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,10/04/14 14:32,No Tag,,,,,151,95,34,,,ProMED Mail,WHO Regional Office in West Africa,
Sierra Leone,Sierra Leone,,Ebola,Humans,,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,10/04/14 14:32,No Tag,,,,,,2,,,,ProMED Mail,WHO Regional Office in West Africa,
Mali,Mali,,Ebola,Humans,,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,10/04/14 14:32,No Tag,,,,,4,,,,,ProMED Mail,WHO Regional Office in West Africa,
Guinea,Guinea,,Ebola,Humans,,2395327,"PRO/AH/EDR> Ebola virus disease - West Africa (13): WHO, Mali susp, UNICEF",http://promedmail.org/direct.php?id=20140411.2395327,11/04/14 02:32,No Tag,1,,,,157,101,66,24,,ProMED Mail,"WHO Regional Office for Africa, Epidemic & Pandemic Alert and Response (EPR)",
